VBA Project,GUID,Friendly name
ProjectServer16ITPro,2ab4a2f8-4f7f-4b03-9c73-01f1aa167a0d,delete-enterprise-objects-in-project-server
ProjectServer16ITPro,97d9849f-c7da-4640-9536-0276829dfdd2,remove-spprojectwebinstance
ProjectServer16ITPro,0e896c78-7e9e-4e24-a398-0319873b15ef,overview-of-the-upgrade-process-to-project-server-2013
ProjectServer16ITPro,e4384366-5945-4fb4-a4ce-03ec1a013602,get-spprojectpermissionmode
ProjectServer16ITPro,12e525a0-efad-41dc-94ae-04dcda2f34c2,convertto-spprojectdatabase
ProjectServer16ITPro,e553e0d5-ce09-48c0-945d-05b2a31ee6a2,disable-spprojectenterpriseprojecttasksync
ProjectServer16ITPro,6a279309-9a6f-4b46-b56f-076b59403345,install-and-configure-project-server-2013
ProjectServer16ITPro,4f3844e1-36c6-47b2-9617-080b5b5083be,set-the-stage-status-in-a-project-web-app-workflow
ProjectServer16ITPro,df0a0c09-ed30-42b9-ba6c-08b6de9370e5,plan-reporting-and-business-intelligence-in-project-web-app
ProjectServer16ITPro,db7da70b-5d6d-4e94-b15e-0922eecf93d0,daily-schedule-backup-project-server-2013
ProjectServer16ITPro,791c0541-4fd4-44cb-9720-0aeeae6a60bc,enable-spprojectemailnotification
ProjectServer16ITPro,914427b2-21e1-4256-b738-0b4b9a633f90,upgrade-to-project-server-2013
ProjectServer16ITPro,a7fafc9e-abb0-4318-a3ce-0ba8b296f1d8,add-or-edit-enterprise-custom-lookup-tables-in-project-server
ProjectServer16ITPro,4b04ada0-efbd-4fb2-a690-0ced8dd2a32d,project-professional-versionsproject-server-2013-settings
ProjectServer16ITPro,ea26852e-db82-416e-bfab-0cf094826f4f,portfolio-analysis-overview
ProjectServer16ITPro,c2964c5e-a2a4-4113-b72a-0f2abc1871cf,deploy-language-packs-in-project-server-2013
ProjectServer16ITPro,c400e683-d9a0-4865-8859-0f566292af17,what-s-new-for-it-pros-in-project-server-2016
ProjectServer16ITPro,0dbe6db3-31fe-42a1-8b38-102fdc9e71f0,get-spprojecteventservicesettings
ProjectServer16ITPro,b857e56c-9964-4fc4-9da6-125736e8f7a4,create-a-sample-project-web-app-workflow
ProjectServer16ITPro,43783477-a5b9-4fe9-a51a-12a4fc5d26c1,set-spprojectloglevelmanagerrefresh
