Error Type,Topic Guid,Message
Warning,02858e0a-08ab-4216-b0b7-395bd19f12b2,Found a an ul list inside a table in html file:02858e0a-08ab-4216-b0b7-395bd19f12b2.xml
Warning,03a59c5e-fa09-4cb7-8155-a63d329c9145,Found nested table in md file:03a59c5e-fa09-4cb7-8155-a63d329c9145.md
Warning,03a59c5e-fa09-4cb7-8155-a63d329c9145,Fixing missing end table tag in file:03a59c5e-fa09-4cb7-8155-a63d329c9145.md
Warning,03a59c5e-fa09-4cb7-8155-a63d329c9145,Found invalid tables saving file:03a59c5e-fa09-4cb7-8155-a63d329c9145.md
Warning,03e9ea52-f4a6-4709-b8c3-41acf4484251,Found a an ul list inside a table in html file:03e9ea52-f4a6-4709-b8c3-41acf4484251.xml
Warning,04fee973-5623-4768-a3ba-c109e45dd7eb,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>&lt;all&gt; </p> in md file:04fee973-5623-4768-a3ba-c109e45dd7eb.md total found:0
Warning,04fee973-5623-4768-a3ba-c109e45dd7eb,Missing tables headers in file:04fee973-5623-4768-a3ba-c109e45dd7eb.md
Warning,095c1092-ffdf-4bd3-bf88-f32c28693913,Found nested table in md file:095c1092-ffdf-4bd3-bf88-f32c28693913.md
Warning,095c1092-ffdf-4bd3-bf88-f32c28693913,Fixing missing end table tag in file:095c1092-ffdf-4bd3-bf88-f32c28693913.md
Warning,095c1092-ffdf-4bd3-bf88-f32c28693913,Found invalid tables saving file:095c1092-ffdf-4bd3-bf88-f32c28693913.md
Warning,0bac34fa-d058-413c-a8ad-e0cec58d8946,Found a an ul list inside a table in html file:0bac34fa-d058-413c-a8ad-e0cec58d8946.xml
Warning,0bd0ef33-e1f1-4b46-94c2-4469f0554c7c,Fixing missing end table tag in file:0bd0ef33-e1f1-4b46-94c2-4469f0554c7c.md
Warning,0bd0ef33-e1f1-4b46-94c2-4469f0554c7c,Found invalid tables saving file:0bd0ef33-e1f1-4b46-94c2-4469f0554c7c.md
Warning,0dbe6db3-31fe-42a1-8b38-102fdc9e71f0,Found nested table in md file:0dbe6db3-31fe-42a1-8b38-102fdc9e71f0.md
Warning,0dbe6db3-31fe-42a1-8b38-102fdc9e71f0,Fixing missing end table tag in file:0dbe6db3-31fe-42a1-8b38-102fdc9e71f0.md
Warning,0dbe6db3-31fe-42a1-8b38-102fdc9e71f0,Found invalid tables saving file:0dbe6db3-31fe-42a1-8b38-102fdc9e71f0.md
Warning,1029865c-ab8e-401e-a10f-13c77ebbdef3,Found nested table in md file:1029865c-ab8e-401e-a10f-13c77ebbdef3.md
Warning,1029865c-ab8e-401e-a10f-13c77ebbdef3,Fixing missing end table tag in file:1029865c-ab8e-401e-a10f-13c77ebbdef3.md
Warning,1029865c-ab8e-401e-a10f-13c77ebbdef3,Found invalid tables saving file:1029865c-ab8e-401e-a10f-13c77ebbdef3.md
Warning,1223bffd-7e67-48cb-aee7-b6c5027ace16,Found a an ul list inside a table in html file:1223bffd-7e67-48cb-aee7-b6c5027ace16.xml
