Error Type,Topic Guid,Message
Error,,Checking for list in tables in file: message:System.Collections.ArrayList
Error,,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file: message:System.Collections.ArrayList
Error,,Checking for missing tables headers in file: message:System.Collections.ArrayList
Error,,Running transform:ConceptualTransform.xslt on file: message:System.Collections.ArrayList
Error,,Running github process on file: message:System.Collections.ArrayList
Warning,002eaac1-35ef-4bab-b977-a02b39715ec3,Could not Add new line after images in md file:002eaac1-35ef-4bab-b977-a02b39715ec3.md
Warning,12ba0ebd-c616-42e5-b9b6-cad570e8409c,Missing tables headers in file:12ba0ebd-c616-42e5-b9b6-cad570e8409c.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Missing tables headers in file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Found nested table in md file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Fixing missing end table tag in file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Fixing missing end table tag in file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Found invalid tables saving file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,252fa593-9c25-47ed-b861-643fe8bf1cb7,Found a an ul list inside a table in html file:252fa593-9c25-47ed-b861-643fe8bf1cb7.xml
Warning,27f3838d-3dbe-4b98-80dc-df55f851154d,Found a an ul list inside a table in html file:27f3838d-3dbe-4b98-80dc-df55f851154d.xml
Warning,27f3838d-3dbe-4b98-80dc-df55f851154d,Missing tables headers in file:27f3838d-3dbe-4b98-80dc-df55f851154d.md
Warning,3e20822d-de27-494e-8821-c25b1174586e,Missing tables headers in file:3e20822d-de27-494e-8821-c25b1174586e.md
Warning,3e20822d-de27-494e-8821-c25b1174586e,Could not Add new line after images in md file:3e20822d-de27-494e-8821-c25b1174586e.md
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Found herf tag with an image in file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md total found:3
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Found a an ol list inside a table in html file:3fda2b6f-3145-46fa-af02-e39a00450ec1.xml
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Missing tables headers in file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Found nested table in md file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Fixing missing end table tag in file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Fixing missing end table tag in file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Fixing missing end table tag in file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Fixing missing end table tag in file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md
Warning,3fda2b6f-3145-46fa-af02-e39a00450ec1,Found invalid tables saving file:3fda2b6f-3145-46fa-af02-e39a00450ec1.md
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Found herf tag with an image in file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md total found:4
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Found a an ul list inside a table in html file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.xml
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Missing tables headers in file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Found nested table in md file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Fixing missing end table tag in file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Fixing missing end table tag in file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Fixing missing end table tag in file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Fixing missing end table tag in file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md
Warning,463db028-1ec6-4d19-9f7b-4ecbf9122cca,Fixing missing end table tag in file:463db028-1ec6-4d19-9f7b-4ecbf9122cca.md
